Instance, D-Wave p(s), Classical SA p(s)
Benchmarking--108q--15us--02-Aug-2012-17-21-39.txt, 0.506608, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-21-47.txt, 0.213466, 0.99
Benchmarking--108q--15us--02-Aug-2012-17-21-56.txt, 0.957336, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-22-06.txt, 0.928654, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-22-14.txt, 0.959289, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-22-23.txt, 0.953436, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-22-33.txt, 0.909426, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-22-41.txt, 0.959275, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-22-50.txt, 0.375996, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-22-59.txt, 0.952033, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-23-08.txt, 0.897420, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-23-16.txt, 0.903959, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-23-25.txt, 0.868426, 0.99
Benchmarking--108q--15us--02-Aug-2012-17-23-33.txt, 0.714731, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-23-42.txt, 0.712781, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-23-51.txt, 0.853626, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-23-59.txt, 0.949575, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-24-08.txt, 0.980041, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-24-17.txt, 0.990211, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-24-26.txt, 0.466867, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-24-35.txt, 0.775973, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-24-44.txt, 0.910506, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-24-53.txt, 0.978321, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-25-02.txt, 0.877304, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-25-10.txt, 0.978395, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-25-19.txt, 0.950257, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-25-28.txt, 0.934820, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-25-37.txt, 0.959781, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-25-45.txt, 0.861396, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-25-54.txt, 0.592229, 0.97
Benchmarking--108q--15us--02-Aug-2012-17-26-02.txt, 0.990220, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-26-11.txt, 0.636698, 0.99
Benchmarking--108q--15us--02-Aug-2012-17-26-20.txt, 0.949803, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-26-28.txt, 0.906113, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-26-37.txt, 0.895955, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-26-46.txt, 0.953084, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-26-54.txt, 0.768521, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-27-03.txt, 0.564841, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-27-11.txt, 0.103560, 0.88
Benchmarking--108q--15us--02-Aug-2012-17-27-20.txt, 0.047150, 0.93
